                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     85,               0.028595,               0.022519,               0.012158,              0.0011387,                0.73255,                0.65093,                0.68674,                0.43668,                0.71425,                 0.5948,                0.64837,                0.38037,               0.038481,                0.03271,               0.011087,              0.0090599,                0.00307,                0.00307,                0.00307
                     86,               0.028644,               0.022973,               0.012128,               0.001286,                0.71935,                0.71165,                0.71639,                0.46719,                0.70617,                0.63557,                0.68082,                0.39857,               0.037813,               0.031328,               0.010454,              0.0090389,              0.0029875,              0.0029875,              0.0029875
                     87,               0.028336,               0.022859,               0.012508,              0.0013183,                0.74198,                0.68172,                0.72591,                0.46776,                0.81399,                0.58427,                0.69629,                0.41551,               0.038144,               0.031526,               0.010756,              0.0089855,               0.002905,               0.002905,               0.002905
                     88,               0.027544,               0.022015,               0.012097,              0.0012491,                0.76277,                0.68251,                0.72168,                0.45694,                0.80299,                 0.6017,                0.68895,                0.40649,               0.038251,               0.032548,               0.010838,               0.010666,              0.0028225,              0.0028225,              0.0028225
                     89,                0.02735,               0.021827,               0.011582,              0.0013405,                0.73803,                0.69332,                0.71154,                 0.4563,                  0.731,                0.62604,                  0.677,                0.39946,               0.037783,               0.031891,               0.010719,              0.0094776,                0.00274,                0.00274,                0.00274
                     90,               0.027004,               0.021851,               0.011759,               0.001334,                0.77377,                0.68996,                0.72306,                0.45759,                0.73893,                0.63263,                0.68504,                0.40058,               0.037794,               0.032199,               0.010519,              0.0082035,              0.0026575,              0.0026575,              0.0026575
                     91,                0.02757,               0.022151,                0.01174,              0.0011582,                0.75043,                0.69097,                0.71711,                 0.4605,                0.72038,                0.63031,                0.68468,                    0.4,               0.038024,               0.032453,               0.010777,               0.010139,               0.002575,               0.002575,               0.002575
                     92,               0.027519,               0.022004,                0.01172,              0.0011969,                0.78263,                 0.6984,                0.73116,                0.46305,                0.72305,                0.64951,                0.68559,                0.40681,               0.037749,               0.033059,                0.01092,               0.010647,              0.0024925,              0.0024925,              0.0024925
                     93,                 0.0273,               0.021982,               0.011654,              0.0011203,                0.76487,                 0.6793,                0.72586,                0.47182,                0.73629,                0.64225,                0.69528,                 0.4214,               0.037649,               0.032305,                0.01054,              0.0088463,                0.00241,                0.00241,                0.00241
                     94,               0.027417,               0.022205,               0.011749,              0.0011632,                0.77424,                0.69948,                0.74354,                0.47367,                0.75187,                0.63097,                0.68793,                0.40473,               0.037686,               0.032623,               0.010481,               0.009037,              0.0023275,              0.0023275,              0.0023275
